"order_month","product_category_name","distinct_order_count","category_rank"
"2016-09","beleza_saude","1","1"
"2016-10","beleza_saude","44","2"
"2016-10","moveis_decoracao","52","1"
"2016-10","perfumaria","30","3"
"2016-12","fashion_bolsas_e_acessorios","1","1"
"2017-01","beleza_saude","75","2"
"2017-01","esporte_lazer","60","3"
"2017-01","moveis_decoracao","134","1"
"2017-02","beleza_saude","160","2"
"2017-02","cama_mesa_banho","144","3"
"2017-02","moveis_decoracao","213","1"
"2017-03","beleza_saude","194","3"
"2017-03","cama_mesa_banho","252","2"
"2017-03","moveis_decoracao","271","1"
"2017-04","beleza_saude","173","3"
"2017-04","cama_mesa_banho","226","1"
"2017-04","esporte_lazer","189","2"
"2017-05","beleza_saude","262","3"
"2017-05","cama_mesa_banho","335","1"
"2017-05","esporte_lazer","274","2"
"2017-05","informatica_acessorios","262","3"
"2017-06","cama_mesa_banho","336","1"
"2017-06","esporte_lazer","248","3"
"2017-06","utilidades_domesticas","291","2"
"2017-07","beleza_saude","280","3"
"2017-07","cama_mesa_banho","510","1"
"2017-07","esporte_lazer","335","2"
"2017-08","beleza_saude","342","3"
"2017-08","cama_mesa_banho","447","1"
"2017-08","esporte_lazer","385","2"
"2017-08","moveis_decoracao","342","3"
"2017-09","beleza_saude","366","3"
"2017-09","cama_mesa_banho","460","1"
"2017-09","esporte_lazer","414","2"
"2017-10","beleza_saude","327","3"
"2017-10","cama_mesa_banho","448","1"
"2017-10","esporte_lazer","421","2"
"2017-11","cama_mesa_banho","799","1"
"2017-11","esporte_lazer","549","2"
"2017-11","moveis_decoracao","541","3"
"2017-12","beleza_saude","445","3"
"2017-12","cama_mesa_banho","497","1"
"2017-12","esporte_lazer","455","2"
"2018-01","beleza_saude","573","2"
"2018-01","cama_mesa_banho","685","1"
"2018-01","esporte_lazer","573","2"
"2018-02","beleza_saude","602","2"
"2018-02","cama_mesa_banho","601","3"
"2018-02","informatica_acessorios","808","1"
"2018-03","cama_mesa_banho","668","2"
"2018-03","esporte_lazer","688","1"
"2018-03","informatica_acessorios","655","3"
"2018-04","beleza_saude","609","1"
"2018-04","cama_mesa_banho","606","2"
"2018-04","esporte_lazer","518","3"
"2018-05","beleza_saude","710","1"
"2018-05","cama_mesa_banho","619","2"
"2018-05","relogios_presentes","613","3"
"2018-06","beleza_saude","793","1"
"2018-06","cama_mesa_banho","651","2"
"2018-06","utilidades_domesticas","469","3"
"2018-07","beleza_saude","705","1"
"2018-07","cama_mesa_banho","515","2"
"2018-07","relogios_presentes","503","3"
"2018-08","beleza_saude","793","1"
"2018-08","cama_mesa_banho","569","3"
"2018-08","utilidades_domesticas","579","2"
"2018-09","moveis_cozinha_area_de_servico_jantar_e_jardim","1","1"
