"seller_id","median_delivery_days","avg_delivery_days","total_delivered_orders","avg_review_score","total_comments","comment_percentage"
"41c2bad7229b0c25e6becf179ebf63ff","4","4.3","20","4.9565217391304348","4","20"
"d13e50eaa47b4cbe9eb81465865d8cfc","4","4.6","66","4.8115942028985507","12","17.9"
"6b90f847357d8981edd79a1eb1bf0acb","4","5.1","44","4.375","17","37.8"
"0885aaf116795758dfeb5f1032487bcd","4","5.2","27","4.2","12","42.9"
"bf00385a5f7fc1ef39a13c2e9ee50a5f","4","5.4","28","4.3103448275862069","15","51.7"
"960945e1a9535cbc0cd6ddd35fbe7ae8","4","5.6","28","4.6551724137931034","10","35.7"
"d9a84e1403de8da0c3aa531d6d108ba6","4","7","53","4.5593220338983051","22","40.7"
"d566c37fa119d5e66c4e9052e83ee4ea","4.5","5.4","64","4.7183098591549296","23","35.9"
"99a54764c341d5dc80b4a8fac4eba3fb","4.5","6.7","44","3.4696969696969697","30","68.2"
"730937bf88cb151eb2eb849f642fc213","4.5","6.7","22","4.4230769230769231","11","50"
