"product_category_name","cc_installment_orders","pct_cc_orders_with_installments","cc_single_pay_orders","total_cc_orders"
"cama_mesa_banho","5971","79.1","1581","7552"
"beleza_saude","5012","72.8","1874","6886"
"relogios_presentes","3798","83","778","4576"
"esporte_lazer","3482","58.9","2431","5913"
"moveis_decoracao","3357","68.2","1568","4925"
"utilidades_domesticas","3202","69.3","1417","4620"
"informatica_acessorios","2563","54","2179","4742"
"cool_stuff","2219","77.6","641","2860"
"brinquedos","2012","64.7","1099","3111"
"perfumaria","1948","77.8","557","2505"
"automotivo","1886","63","1107","2993"
"ferramentas_jardim","1734","66.4","879","2613"
"telefonia","1682","53.9","1436","3119"
"bebes","1525","66.4","771","2296"
"papelaria","1173","64.1","658","1831"
"fashion_bolsas_e_acessorios","893","64","503","1396"
"pet_shop","875","65","472","1347"
"moveis_escritorio","738","81.8","164","902"
"malas_acessorios","639","76.2","200","839"
"eletronicos","514","27.7","1342","1856"
"consoles_games","496","61.2","314","810"
"construcao_ferramentas_construcao","402","69","181","583"
"eletroportateis","353","71.7","139","492"
"instrumentos_musicais","321","68.4","148","469"
"casa_construcao","293","73.6","105","398"
"casa_conforto","258","80.9","61","319"
"moveis_sala","242","73.3","88","330"
"livros_interesse_geral","207","54.2","175","382"
"eletrodomesticos","181","29.6","430","611"
"alimentos","162","49.4","166","328"
"audio","157","61.8","97","254"
"fashion_calcados","147","75.4","48","195"
"pcs","146","94.2","9","155"
"eletrodomesticos_2","145","79.2","38","183"
"moveis_cozinha_area_de_servico_jantar_e_jardim","137","72.1","53","190"
"industria_comercio_e_negocios","131","72","51","182"
"market_place","128","64.6","70","198"
"construcao_ferramentas_iluminacao","121","66.9","60","181"
"climatizacao","119","62","73","192"
"telefonia_fixa","103","63.6","59","162"
"livros_tecnicos","102","53.4","89","191"
"artes","93","63.3","54","147"
"agro_industria_e_comercio","84","67.2","41","125"
"construcao_ferramentas_seguranca","84","67.2","41","125"
"construcao_ferramentas_jardim","83","53.5","72","155"
"alimentos_bebidas","75","45.7","89","164"
"bebidas","71","30.3","163","234"
"fashion_roupa_masculina","59","66.3","30","89"
"artigos_de_natal","59","60.2","39","98"
"sinalizacao_e_seguranca","56","59.6","38","94"
"moveis_quarto","55","83.3","11","66"
"fashion_underwear_e_moda_praia","54","58.7","38","92"
"construcao_ferramentas_ferramentas","51","68.9","23","74"
"portateis_casa_forno_e_cafe","50","78.1","14","64"
"tablets_impressao_imagem","44","71","18","62"
"moveis_colchao_e_estofado","26","81.3","6","32"
"cine_foto","24","57.1","18","42"
"fashion_roupa_feminina","22","81.5","5","27"
"livros_importados","20","48.8","21","41"
"musica","19","67.9","9","28"
"dvds_blu_ray","17","38.6","27","44"
"fashion_esporte","14","82.4","3","17"
"artigos_de_festas","14","51.9","13","27"
"fraldas_higiene","12","60","8","20"
"la_cuisine","10","83.3","2","12"
"casa_conforto_2","6","35.3","11","17"
"artes_e_artesanato","5","38.5","8","13"
"flores","3","13.6","19","22"
